Last-Updated: 2022-07-01
trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2020-01-01|Light rail|Newcastle and surrounds|18|100|100
2020-01-01|Light rail|Other|18|1000|1200
2020-01-01|Light rail|Sydney CBD|18|3400|3300
2020-01-01|Light rail|All - NSW|18|4500|4600
2020-01-01|Light rail|Newcastle and surrounds|19|100|100
2020-01-01|Light rail|North Sydney|19|<50|<50
2020-01-01|Light rail|Other|19|600|1000
2020-01-01|Light rail|Sydney CBD|19|2600|2700
2020-01-01|Light rail|All - NSW|19|3300|3800
2020-01-01|Light rail|Newcastle and surrounds|20|<50|<50
2020-01-01|Light rail|Other|20|500|800
2020-01-01|Light rail|Sydney CBD|20|1900|1900
2020-01-01|Light rail|All - NSW|20|2400|2700
2020-01-01|Light rail|Newcastle and surrounds|21|<50|<50
2020-01-01|Light rail|Other|21|400|600
2020-01-01|Light rail|Sydney CBD|21|1800|1600
2020-01-01|Light rail|All - NSW|21|2200|2200
2020-01-01|Light rail|Newcastle and surrounds|22|<50|<50
2020-01-01|Light rail|Other|22|600|600
2020-01-01|Light rail|Sydney CBD|22|1100|1300
2020-01-01|Light rail|All - NSW|22|1700|1900
2020-01-01|Light rail|Newcastle and surrounds|23|<50|<50
2020-01-01|Light rail|Other|23|200|300
2020-01-01|Light rail|Sydney CBD|23|600|900
2020-01-01|Light rail|All - NSW|23|800|1200
2020-01-01|Train|Chatswood|0|200|1000
2020-01-01|Train|Macquarie Park|0|100|400
2020-01-01|Train|Newcastle and surrounds|0|100|<50
2020-01-01|Train|North Sydney|0|11200|400
2020-01-01|Train|Other|0|9100|14800
2020-01-01|Train|Parramatta|0|200|300
2020-01-01|Train|Strathfield|0|200|800
2020-01-01|Train|Sydney CBD|0|42300|5300
2020-01-01|Train|Wollongong and surrounds|0|200|<50
2020-01-01|Train|All - NSW|0|63600|23000
2020-01-01|Train|Chatswood|1|500|1900
2020-01-01|Train|Macquarie Park|1|100|1100
2020-01-01|Train|Newcastle and surrounds|1|100|<50
2020-01-01|Train|North Sydney|1|9000|900
2020-01-01|Train|Other|1|13200|55300
2020-01-01|Train|Parramatta|1|200|3000
2020-01-01|Train|Strathfield|1|200|3000
2020-01-01|Train|Sydney CBD|1|45700|8600
2020-01-01|Train|Wollongong and surrounds|1|100|100
2020-01-01|Train|All - NSW|1|69100|73900
2020-01-01|Train|Chatswood|2|200|800
2020-01-01|Train|Macquarie Park|2|100|500
2020-01-01|Train|Newcastle and surrounds|2|100|<50
2020-01-01|Train|North Sydney|2|3900|500
2020-01-01|Train|Other|2|7200|45200
2020-01-01|Train|Parramatta|2|100|2700
2020-01-01|Train|Strathfield|2|200|1300
2020-01-01|Train|Sydney CBD|2|16200|6100
2020-01-01|Train|Wollongong and surrounds|2|200|300
2020-01-01|Train|All - NSW|2|28200|57400
2020-01-01|Train|Chatswood|3|100|200
2020-01-01|Train|Macquarie Park|3|<50|100
2020-01-01|Train|Newcastle and surrounds|3|<50|<50
2020-01-01|Train|North Sydney|3|1800|100
2020-01-01|Train|Other|3|2700|15100
2020-01-01|Train|Parramatta|3|<50|700
2020-01-01|Train|Strathfield|3|100|500
2020-01-01|Train|Sydney CBD|3|7700|2200
2020-01-01|Train|Wollongong and surrounds|3|100|200
2020-01-01|Train|All - NSW|3|12500|19100
2020-01-01|Train|Chatswood|4|<50|100
2020-01-01|Train|Macquarie Park|4|<50|100
2020-01-01|Train|Newcastle and surrounds|4|<50|<50
2020-01-01|Train|North Sydney|4|200|100
2020-01-01|Train|Other|4|3100|7500
2020-01-01|Train|Parramatta|4|200|300
2020-01-01|Train|Strathfield|4|100|300
2020-01-01|Train|Sydney CBD|4|3700|800
2020-01-01|Train|Wollongong and surrounds|4|<50|100
2020-01-01|Train|All - NSW|4|7300|9300
2020-01-01|Train|Chatswood|5|100|100
2020-01-01|Train|Macquarie Park|5|<50|<50
2020-01-01|Train|Newcastle and surrounds|5|<50|<50
2020-01-01|Train|North Sydney|5|100|100
2020-01-01|Train|Other|5|5100|5400
2020-01-01|Train|Parramatta|5|200|200
2020-01-01|Train|Strathfield|5|300|200
2020-01-01|Train|Sydney CBD|5|2200|1300
2020-01-01|Train|Wollongong and surrounds|5|<50|<50
2020-01-01|Train|All - NSW|5|8000|7300
2020-01-01|Train|Chatswood|6|100|100
2020-01-01|Train|Macquarie Park|6|<50|100
2020-01-01|Train|Newcastle and surrounds|6|<50|<50
2020-01-01|Train|North Sydney|6|200|200
2020-01-01|Train|Other|6|6200|6300
2020-01-01|Train|Parramatta|6|200|200
2020-01-01|Train|Strathfield|6|300|200
2020-01-01|Train|Sydney CBD|6|2200|2100
2020-01-01|Train|Wollongong and surrounds|6|100|<50
2020-01-01|Train|All - NSW|6|9300|9200
2020-01-01|Train|Chatswood|7|100|100
2020-01-01|Train|Macquarie Park|7|<50|100
2020-01-01|Train|Newcastle and surrounds|7|<50|<50
2020-01-01|Train|North Sydney|7|200|200
2020-01-01|Train|Other|7|7800|6200
2020-01-01|Train|Parramatta|7|200|300
2020-01-01|Train|Strathfield|7|300|200
2020-01-01|Train|Sydney CBD|7|2200|2200
2020-01-01|Train|Wollongong and surrounds|7|100|<50
2020-01-01|Train|All - NSW|7|10900|9300
2020-01-01|Train|Chatswood|8|200|200
2020-01-01|Train|Macquarie Park|8|100|100
2020-01-01|Train|Newcastle and surrounds|8|<50|<50
2020-01-01|Train|North Sydney|8|200|200
2020-01-01|Train|Other|8|10600|7300
2020-01-01|Train|Parramatta|8|400|400
2020-01-01|Train|Strathfield|8|300|200
2020-01-01|Train|Sydney CBD|8|2100|3400
2020-01-01|Train|Wollongong and surrounds|8|100|100
2020-01-01|Train|All - NSW|8|14000|11900
2020-01-01|Train|Chatswood|9|300|400
2020-01-01|Train|Macquarie Park|9|100|200
2020-01-01|Train|Newcastle and surrounds|9|100|<50
2020-01-01|Train|North Sydney|9|400|300
2020-01-01|Train|Other|9|14900|9200
2020-01-01|Train|Parramatta|9|500|400
2020-01-01|Train|Strathfield|9|500|300
2020-01-01|Train|Sydney CBD|9|2600|5500
2020-01-01|Train|Wollongong and surrounds|9|200|<50
2020-01-01|Train|All - NSW|9|19600|16300
